Image Name,Cluster Label
12000003.bmp,2
12000004.bmp,2
12000005.bmp,2
12000006.bmp,2
12000007.bmp,2
12000008.bmp,0
12000009.bmp,0
12000010.bmp,2
12000011.bmp,0
12000012.bmp,0
12000013.bmp,0
12000014.bmp,0
12000015.bmp,0
12001000.bmp,0
12001001.bmp,0
12001002.bmp,0
12001003.bmp,0
12001004.bmp,0
12001005.bmp,0
12001006.bmp,0
12001007.bmp,0
12001008.bmp,0
12001009.bmp,0
12001010.bmp,0
12001011.bmp,0
12001012.bmp,0
12001013.bmp,1
12001014.bmp,0
12001015.bmp,0
12002000.bmp,0
12002001.bmp,0
12002002.bmp,0
12002003.bmp,0
12002004.bmp,0
12002005.bmp,0
12002006.bmp,0
12002007.bmp,1
12002008.bmp,0
12002009.bmp,0
12002010.bmp,2
12002011.bmp,2
12002012.bmp,2
12002013.bmp,2
12002014.bmp,0
12002015.bmp,0
12003000.bmp,0
12003001.bmp,2
12003002.bmp,0
12003003.bmp,0
12003004.bmp,0
12003005.bmp,0
12003006.bmp,0
12003007.bmp,0
12003008.bmp,0
12003009.bmp,0
12003010.bmp,0
12003011.bmp,0
12003012.bmp,0
12003013.bmp,0
12003014.bmp,0
12003015.bmp,2
12004000.bmp,1
